"director";"title";"country";"description";"release_year";"duration";"listed_in";"cast"
"Luv Ranjan";"Pyaar Ka Punchnama 2";"India";"Three young bachelors find the reality of relationships to be far removed from the idea of true romance that they had once pursued.";2015;136;"Comedies, Dramas, International Movies";"Kartik Aaryan, Nushrat Bharucha, Sonalli Sehgall, Sunny Singh, Ishita Raj, Omkar Kapoor, Sharat Saxena, Mona Ambegaonkar"
"Tanuja Chandra";"Qarib Qarib Singlle";"India";"After reluctantly joining a dating app, a 35-year-old widow accompanies an easygoing poet on a trip to visit three of his exes.";2017;120;"Comedies, International Movies, Romantic Movies";"Irrfan Khan, Parvathy, Neha Dhupia, Pushtii Shakti, Luke Kenny, Siddharth Menon, Bajrangbali Singh, Brijendra Kala"
"Rashida Jones, Alan Hicks";"Quincy";"United States";"This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career.";2018;124;"Documentaries, Music & Musicals";"Quincy Jones"
"Honey Trehan";"Raat Akeli Hai";"India";"When a newly married landlord is murdered, a misfit cop’s investigation is complicated by the victim’s secretive family and his own conflicted heart.";2020;150;"Dramas, International Movies, Thrillers";"Nawazuddin Siddiqui, Radhika Apte, Khalid Tyabji, Aditya Srivastava, Padmavati Rao, Shivani Raghuvanshi, Nishant Dahiya, Shweta Tripathi, Gyanendra Tripathi, Shreedhar Dubey, Swanand Kirkire, Riya Shukla, Tigmanshu Dhulia, Ila Arun, Natasha Rastogi"
"Yasmin Ahmad";"Rabun";"Malaysia";"A free-spirited couple leave the city to retire in the country. But when they're swindled by a relative, life in the countryside loses its luster.";2004;85;"Dramas, Independent Movies, International Movies";"M. Rajoli, Kartina Aziz, Rozie Rashid, Irwan Iskandar, Noor Khiriah, Hafiz Ibrahim"
"Lydia Dean Pilcher, Ginny Mohler";"Radium Girls";"United States";"When the women at a radium factory begin to fall gravely and inexplicably ill, Bessie and her co-workers set out to expose a corporate cover-up.";2018;103;"Dramas, Independent Movies";"Joey King, Abby Quinn, Cara Seymour, Scott Shepherd, Susan Heyward, Neal Huff, Collin Kelly-Sordelet, John Bedford Lloyd, Joe Grifasi, Colby Minifie"
"Leena Yadav";"Rajma Chawal";"India";"Hoping to revive his relationship with his resentful millennial son, an internet-rookie widower assumes the online persona of a young woman.";2018;119;"Comedies, Dramas, International Movies";"Rishi Kapoor, Anirudh Tanwar, Amyra Dastur, Jitendra Shastri, Aparshakti Khurana, Harish Khanna, Manu Rishi Chadha, Nirmal Rishi, Sheeba Chaddha, Adil Hussain, Rahul Ram, Mukesh Chhabra"
"Kim Sung-hoon";"Rampant";"South Korea";"When Prince Lee Cheong returns to Joseon after his brother’s death, he finds the kingdom plagued by deadly creatures – but they’re not the only threat.";2018;122;"Action & Adventure, Horror Movies, International Movies";"Hyun Bin, Jang Dong-gun, Jo Woo-jin, Jeong Man-sik, Lee Sun-bin, Kim Eui-sung, Cho Dal-hwan, Seo Ji-hye, Kim Tae-woo, Kim Joo-hyuk"
"Elaine McMillion Sheldon";"Recovery Boys";"United States";"In a region ravaged by opioid abuse, four young men in a farming-based rehab forge a bond as they try to reinvent their lives after years of addiction.";2018;90;"Documentaries";NA
"Marina Willer";"Red Trees";"United Kingdom";"A documentarian details her Jewish family's escape from Nazi-occupied Prague to refuge in Brazil, where her father built a life as an architect.";2017;80;"Documentaries, International Movies";"Tim Piggott-Smith"
"Clementine Malpas, Leslie Knott";"Refugee";NA;"Five acclaimed photographers travel the world to provide detailed insight into the difficult conditions faced by refugees who dream of a better life.";2016;24;"Documentaries";"Cate Blanchett, Lynsey Addario, Omar Victor Diop, Graciela Iturbide, Martin Schoeller, Tom Stoddart"
"Sara Dosa";"ReMastered: Tricky Dick & The Man in Black";"United States";"This documentary chronicles Johnny Cash's 1970 visit to the White House, where Cash's emerging ideals clashed with Richard Nixon's policies.";2018;59;"Documentaries, Music & Musicals";NA
"Linda Saffire, Adam Schlesinger";"Restless Creature: Wendy Whelan";"United States";"After 30 years with the New York City Ballet, celebrated dancer Wendy Whelan redefines herself as an artist in a new stage of life.";2016;94;"Documentaries";"Peter Martins, Sean Suozzi, Gretchen Smith, Ashley Laracey, Tiler Peck, Damian Woetzel, Albert Evans, Sterling Hyltin, Craig Hall, Peter Boal, Karen Young, Michelle Rodriguez, Jock Soto, Adam Barrett"
"Rachel Griffiths";"Ride Like a Girl";"Australia";"The daughter of a horse trainer, an ambitious girl sets her sights on becoming the first female jockey to win the Melbourne Cup. Based on a true story.";2020;99;"Children & Family Movies, Dramas, Independent Movies";"Teresa Palmer, Sam Neill, Sullivan Stapleton, Stevie Payne, Brooke Satchwell, Magda Szubanski, Aaron Glenane, Damien Garvey, Sophia Crawford, Henry Nixon"
"Rhiannon Bannenberg";"Rip Tide";"Australia, United Arab Emirates";"Following an embarrassing viral video, a New York model decides to escape from her suffocating existence by visiting her faraway aunt in Australia.";2017;87;"Children & Family Movies, Dramas, Sports Movies";"Debby Ryan, Genevieve Hegney, Andrew Creer, Naomi Sequeira, Aaron Jeffery, Valerie Bader, Jeremy Lindsay Taylor, Danielle Carter, Marcus Graham, Kimie Tsukakoshi"
"Devaki Singh, Luke Kenny";"Rise of the Zombie";"India";"A heartbroken wildlife photographer throws himself into his work, only to find himself experiencing strange transformations.";2013;83;"Horror Movies, International Movies";"Luke Kenny, Kirti Kulhari, Ashwin Mushran, Benjamin Gilani"
"Nancy Schwartzman";"Roll Red Roll";"United States";"This compelling documentary follows the 2012 Steubenville, Ohio rape case, putting social media and high school football culture in the spotlight.";2018;80;"Documentaries";NA
"Pavitra Chalam, Akshay Shankar";"Rooting for Roona";"India";"In rural India, a child with hydrocephalus gets a chance at life-changing surgery after her photos go viral. This documentary charts her journey.";2020;42;"Documentaries, International Movies";NA
"Shweta Basu Prasad";"Roots";NA;"This documentary explores the rich heritage of Indian classical music and the reasons behind its modern decline in popularity.";2016;62;"Documentaries, International Movies, Music & Musicals";NA
"Jen McGowan";"Rust Creek";"United States";"A wrong turn in the woods becomes a fight for her life when a career-seeking college student runs into two outlaw brothers looking to cook up trouble.";2019;108;"Thrillers";"Hermione Corfield, Jay Paulson, Sean O'Bryan, Micah Hauptman, Micah Hauptman, Daniel R. Hill, Jeremy Glazer, John Marshall Jones, Laura Guzman, Jake Kidwell"
"Natasha Lyonne";"Sarah Cooper: Everything's Fine";"United States";"Comedian and Trump lip-synching sensation Sarah Cooper tackles politics, race and other light topics in a sketch special packed with celebrity guests.";2020;50;"Comedies";"Sarah Cooper, Fred Armisen, Maya Rudolph, Ben Stiller, Megan Thee Stallion, Jane Lynch, Jon Hamm, Aubrey Plaza, Connie Chung, Jordan Black, Tommy Davidson, Helen Mirren, Jonathan Van Ness, Danielle Brooks, Winona Ryder, Marcella Arguello, Eddie Pepitone, Marisa Tomei, Whoopi Goldberg, Tom Kane"
"Swapna Waghmare Joshi";"Savita Damodar Paranjpe";"India";"When his wife begins to exhibit alarming behavior, a husband tries to find whether she suffers from a personality disorder or something more sinister.";2018;119;"Horror Movies, International Movies";"Subodh Bhave, Trupti Toradmal, Rakesh Bapat, Pallavi Patil, Angad Mhaskar, Hemangi Kavi, Savita Prabhune, Sandeep Avchat"
"Kasia Uscinska";"Secrets of Althorp - The Spencers";"United States";"Princess Diana's brother, Charles, the ninth Earl Spencer, leads a tour of Althorp House, the manor the Spencer family has called home for 500 years.";2013;54;"Documentaries, International Movies";"Samuel West"
"Susannah Ward";"Secrets of Chatsworth";"United States";"Tales of tragedy and scandal unfold through the history of Chatsworth, a grand estate that has been home to some of England's most noted aristocrats.";2013;54;"Documentaries, International Movies";"Samuel West"
"Kasia Uscinska";"Secrets of Her Majesty's Secret Service";"United Kingdom";"This documentary spotlights more than 100 years of operatives and operations in the U.K.'s secret service, the world's oldest intelligence agency.";2014;55;"Documentaries, International Movies";"Samuel West"
"Vicky Matthews";"Secrets of Highclere Castle";"United States";"Known as the setting of ""Downton Abbey,"" Highclere Castle truly was the home of aristocrats and an army of servants, with a rich past to share.";2013;54;"Documentaries, International Movies";"Samuel West"
"Susannah Ward";"Secrets of Scotland Yard";"United Kingdom";"Revisit famous cases and explore the history of Scotland Yard, one of the world's oldest detective forces and a name synonymous with crime solving.";2013;55;"Documentaries";"Samuel West"
"Vicky Matthews";"Secrets of the Tower of London";"United Kingdom";"Explore the storied history of the iconic Tower of London as it evolved from a royal castle into a dungeon prison and, finally, an armory and mint.";2013;55;"Documentaries";"Samuel West"
"Vicky Matthews, Gareth Sacala";"Secrets of Underground London";"United Kingdom";"Experts examine the ruins and relics hidden beneath London's surface, unearthing a Roman amphitheater, plague pits, air raid shelters and more.";2014;55;"Documentaries, International Movies";"Samuel West"
"Louise Wardle";"Secrets of Westminster";"United States, United Kingdom";"Take an insider's tour of Parliament, Big Ben and Westminster Abbey to discover the little-known history and pageantry of these famous buildings.";2014;55;"Documentaries, International Movies";"Samuel West"
"Roberta Grossman, Sophie Sartain";"Seeing Allred";"United States";"Explore the public and private sides of feminist firebrand attorney Gloria Allred, who's battled some of the biggest names in politics and business.";2018;96;"Documentaries";"Gloria Allred"
"Alejandra Márquez Abella";"Semana Santa";"Mexico";"A single mother, her boyfriend and her 8-year-old son take a weeklong resort vacation, during which secrets and relationship strains take their toll.";2015;87;"Dramas, International Movies";"Tenoch Huerta, Anajosé Aldrete, Esteban Ávila, David Thornton, Jimena Cuarón, Lakshmi Picazo"
"Claire Scanlon";"Set It Up";"United States";"In desperate need of a break from the office, two beleaguered assistants team up to trick their workaholic bosses into falling in love.";2018;106;"Comedies, Romantic Movies";"Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs, Meredith Hagner, Pete Davidson, Tituss Burgess"
"Cathy Garcia-Molina";"Seven Sundays";"Philippines";"A dying father asks his busy and grown children to spend their Sundays with him, forcing his family to confront their issues before it's too late.";2017;128;"Comedies, Dramas, International Movies";"Ronaldo Valdez, Aga Muhlach, Dingdong Dantes, Enrique Gil, Cristine Reyes, Donita Rose, Ketchup Eusebio, Kean Cipriano"
"Sylvie Verheyde";"Sex Doll";"United Kingdom, France";"A high-end call girl falls for a handsome man she meets at a nightclub, but he harbors a secret that throws a wrench in their relationship.";2016;103;"Dramas, International Movies, Romantic Movies";"Hafsia Herzi, Ash Stymest, Karole Rocher, Paul Hamy, Ira Max, Lindsay Karamoh, Myriam Djeljeli"
"Leena Yadav";"Shabd";"India";"When a novelist seeks inspiration by urging his wife to have an affair, the line between his story and his real life grows disconcertingly blurry.";2005;146;"Dramas, International Movies, Romantic Movies";"Sanjay Dutt, Aishwarya Rai Bachchan, Zayed Khan, Brijendra Kala, Sadiya Siddiqui, Kamini Khanna"
"Sudesh Manjrekar";"Shahanpan Dega Deva";"India";"At large in the city, five inmates of a mental asylum run up against the insanity of the outside world while trying to prevent a terrorist plot.";2011;115;"Comedies, International Movies";"Bharat Jadhav, Ankush Chaudhari, Siddarth Jadhav, Santosh Juvekar, Vaibhav Mangale, Kranti Redkar, Manava Naik"
"Samar Khan";"Shaurya: It Takes Courage to Make Right... Right";"India";"Courtroom intrigue plays out against a backdrop of military secrets in this Bollywood drama with a plot that's reminiscent of A Few Good Men.";2008;135;"Dramas, International Movies";"Rahul Bose, Javed Jaffrey, Minissha Lamba, Seema Biswas, Deepak Dobriyal, Kay Kay Menon, Amrita Rao, Rosa Catalano, Subrat Dutta, Priyesh Kaushik"
"Cathy Garcia-Molina";"She's Dating the Gangster";"Philippines";"To make another woman jealous, a campus heartthrob asks a fellow student to be his pretend girlfriend, but fate has other plans for the fake couple.";2014;113;"Dramas, International Movies, Romantic Movies";"Kathryn Bernardo, Daniel Padilla, Richard Gomez, Dawn Zulueta, Sofia Andres, Khalil Ramos, Ian Veneracion, Pamu Pamorada, Igi Boy Flores, Marco Gumabao"
"Mae Czarina Cruz";"She's the One";"Philippines";"When his best friend gets stranded in the rain and becomes the subject of a romantic viral video, a morning show host must confront his true feelings.";2013;111;"Dramas, International Movies, Romantic Movies";"Bea Alonzo, Dingdong Dantes, Enrique Gil"
"Adele K. Thomas, Richard Bailey";"Shopkins: Wild";"Australia";"Beloved movie star Scarletta Gateau visits Shopville and recruits the Shopkins for a quest through the jungle to the mysterious world of Pawville.";2018;75;"Movies";"Kate Murphy, Cassandra Morris, Kayli Mills, Abby Trott, Brianna Plantano, Laura Stahl, Philece Sampler"
"Julia Knowles";"Simon Amstell: Set Free";"United Kingdom";"Honest, introspective comic Simon Amstell digs deep and delivers a uniquely vulnerable stand-up set on love, ego, intimacy and ayahuasca.";2019;52;"Stand-Up Comedy";"Simon Amstell"
"Sharmeen Obaid-Chinoy";"Sitara: Let Girls Dream";"Pakistan, United States";"In this silent short set in 1970s Pakistan, 14-year-old Pari longs to be a pilot, unaware that her father plans to marry her off to a much older man.";2020;16;"Children & Family Movies, Dramas";NA
"Leslye Headland";"Sleeping with Other People";"United States";"Many years after hooking up in college, two people cross paths and realize they are both serial philanderers who need each other's help to reform.";2015;101;"Comedies, Dramas, Independent Movies";"Jason Sudeikis, Alison Brie, Adam Scott, Jason Mantzoukas, Natasha Lyonne, Adam Brody, Amanda Peet"
"Jennifer Kaytin Robinson";"Someone Great";"United States";"On the heels of a blindsiding breakup, music journalist Jenny braces for a new beginning – and one last adventure with her closest friends.";2019;92;"Comedies, Romantic Movies";"Gina Rodriguez, Brittany Snow, DeWanda Wise, Lakeith Stanfield, RuPaul Charles, Peter Vack, Alex Moffat, Rosario Dawson, Rebecca Naomi Jones, Jaboukie Young-White, Michelle Buteau, Questlove"
